id,name,slug,parent_id,parent_name,count,depth
2313,T8XX,t8xx,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
265,T8XXX,t8xxx,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,17,2
266,T9XXX,t9xxx,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,15,2
838,TC,tc,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,2,2
972,TCA,tca,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,2,2
973,TCB,tcb,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
2375,TCD,tcd,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
488,TCE,tce,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,3,2
489,TCF,tcf,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,2,2
490,TCG,tcg,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,2,2
491,TCH,tch,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,2,2
492,TCI,tci,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,2,2
493,TCJ,tcj,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,2,2
1671,TCR,tcr,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
1663,TD,td,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,2,2
970,TDA,tda,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,6,2
971,TDB,tdb,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,4,2
2301,TDC,tdc,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
2302,TDD,tdd,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,3,2
2303,TDE,tde,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,2,2
2304,TDF,tdf,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,2,2
2455,TDH,tdh,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
839,TE,te,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,2,2
974,TEA,tea,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,2,2
975,TEB,teb,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,2,2
2368,TEC,tec,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
2369,TED,ted,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
2370,TEE,tee,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
2371,TEF,tef,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
2372,TEH,teh,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
2373,TEJ,tej,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
2374,TEL,tel,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
2305,TGB,tgb,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
2306,TGD,tgd,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
2307,TGE,tge,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
2308,TGF,tgf,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
840,TK,tk,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,2,2
841,TM,tm,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,3,2
1672,TMR,tmr,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
842,TS,ts,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,2,2
2366,TSA,tsa,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,2,2
2456,TSB,tsb,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
2376,TSD,tsd,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
2377,TSF,tsf,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
843,TW,tw,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,4,2
976,TWA,twa,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
977,TWB,twb,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
1424,TWC,twc,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,2,2
497,TWD,twd,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,3,2
2367,TWE,twe,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
498,TWF,twf,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,2,2
499,TWH,twh,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
500,TWI,twi,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
1673,TX,tx,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
494,TXD,txd,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
495,TXI,txi,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
496,TXR,txr,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
474,WWF,wwf,235,אביזרים וחלקי חילוף למייבשי כביסה מילה,1,2
314,CM5000,cm5000,236,אביזרים וחלקי חילוף למכונות קפה מילה,5,2
315,CM5100,cm5100,236,אביזרים וחלקי חילוף למכונות קפה מילה,5,2
316,CM5200,cm5200,236,אביזרים וחלקי חילוף למכונות קפה מילה,5,2
272,CM5300,cm5300,236,אביזרים וחלקי חילוף למכונות קפה מילה,10,2
317,CM5310,cm5310,236,אביזרים וחלקי חילוף למכונות קפה מילה,10,2
318,CM5315,cm5315,236,אביזרים וחלקי חילוף למכונות קפה מילה,3,2
2208,CM53XX,cm53xx,236,אביזרים וחלקי חילוף למכונות קפה מילה,1,2
273,CM5400,cm5400,236,אביזרים וחלקי חילוף למכונות קפה מילה,9,2
319,CM5410,cm5410,236,אביזרים וחלקי חילוף למכונות קפה מילה,7,2
274,CM5500,cm5500,236,אביזרים וחלקי חילוף למכונות קפה מילה,8,2
320,CM5510,cm5510,236,אביזרים וחלקי חילוף למכונות קפה מילה,7,2
321,CM5710,cm5710,236,אביזרים וחלקי חילוף למכונות קפה מילה,7,2
275,CM6100,cm6100,236,אביזרים וחלקי חילוף למכונות קפה מילה,6,2
322,CM6110,cm6110,236,אביזרים וחלקי חילוף למכונות קפה מילה,4,2
323,CM6150,cm6150,236,אביזרים וחלקי חילוף למכונות קפה מילה,4,2
324,CM6160,cm6160,236,אביזרים וחלקי חילוף למכונות קפה מילה,3,2
325,CM6300,cm6300,236,אביזרים וחלקי חילוף למכונות קפה מילה,5,2
326,CM6310,cm6310,236,אביזרים וחלקי חילוף למכונות קפה מילה,5,2
327,CM6350,cm6350,236,אביזרים וחלקי חילוף למכונות קפה מילה,5,2
328,CM6360,cm6360,236,אביזרים וחלקי חילוף למכונות קפה מילה,3,2
329,CM6560,cm6560,236,אביזרים וחלקי חילוף למכונות קפה מילה,3,2
330,CM7300,cm7300,236,אביזרים וחלקי חילוף למכונות קפה מילה,4,2
331,CM7350,cm7350,236,אביזרים וחלקי חילוף למכונות קפה מילה,4,2
332,CM7500,cm7500,236,אביזרים וחלקי חילוף למכונות קפה מילה,4,2
333,CM7550,cm7550,236,אביזרים וחלקי חילוף למכונות קפה מילה,3,2
796,CM75XX,cm75xx,236,אביזרים וחלקי חילוף למכונות קפה מילה,1,2
334,CM7750,cm7750,236,אביזרים וחלקי חילוף למכונות קפה מילה,3,2
797,CM77XX,cm77xx,236,אביזרים וחלקי חילוף למכונות קפה מילה,1,2
